Ex,No,Item,Filler,Grammaticality,Attractor,Surprisal
1A,28,The author of the speeches [MASK] young.,was,Grammatical,PL,0.931648427
1A,28,The author of the speech [MASK] young.,were,Ungrammatical,SG,6.085479005
1A,28,The author of the speeches [MASK] young.,were,Ungrammatical,PL,5.877473292
1A,29,The bill from the accountant [MASK] reasonable.,was,Grammatical,SG,0.265429847
1A,29,The bill from the accountants [MASK] reasonable.,was,Grammatical,PL,0.246217253
1A,29,The bill from the accountant [MASK] reasonable.,were,Ungrammatical,SG,7.196957909
1A,29,The bill from the accountants [MASK] reasonable.,were,Ungrammatical,PL,6.711151595
1A,30,The computer with the program [MASK] unavailable.,was,Grammatical,SG,0.454692576
1A,30,The computer with the programs [MASK] unavailable.,was,Grammatical,PL,0.479403464
1A,30,The computer with the program [MASK] unavailable.,were,Ungrammatical,SG,6.127505981
1A,30,The computer with the programs [MASK] unavailable.,were,Ungrammatical,PL,5.226949674
1A,31,The contract for the actor [MASK] acceptable.,was,Grammatical,SG,0.316506039
1A,31,The contract for the actors [MASK] acceptable.,was,Grammatical,PL,0.253527533
1A,31,The contract for the actor [MASK] acceptable.,were,Ungrammatical,SG,6.661636042
1A,31,The contract for the actors [MASK] acceptable.,were,Ungrammatical,PL,6.3637245
1A,32,The deck of the yacht [MASK] spacious.,was,Grammatical,SG,0.040504173
1A,32,The deck of the yachts [MASK] spacious.,was,Grammatical,PL,0.050427884
1A,32,The deck of the yacht [MASK] spacious.,were,Ungrammatical,SG,8.069510043
1A,32,The deck of the yachts [MASK] spacious.,were,Ungrammatical,PL,5.503180947
1A,33,The discussion about the topic [MASK] boring.,was,Grammatical,SG,0.308780387
1A,33,The discussion about the topics [MASK] boring.,was,Grammatical,PL,0.367598488
1A,33,The discussion about the topic [MASK] boring.,were,Ungrammatical,SG,6.267225514
1A,33,The discussion about the topics [MASK] boring.,were,Ungrammatical,PL,5.1591872
1A,34,The friend of the editor [MASK] blonde.,was,Grammatical,SG,3.050192173
1A,34,The friend of the editors [MASK] blonde.,was,Grammatical,PL,1.409902715
1A,34,The friend of the editor [MASK] blonde.,were,Ungrammatical,SG,8.210549117
1A,34,The friend of the editors [MASK] blonde.,were,Ungrammatical,PL,6.678247563
1A,35,The gift for the baby [MASK] expensive.,was,Grammatical,SG,0.049050889
1A,35,The gift for the babies [MASK] expensive.,was,Grammatical,PL,0.054345792
1A,35,The gift for the baby [MASK] expensive.,were,Ungrammatical,SG,8.218039036
1A,35,The gift for the babies [MASK] expensive.,were,Ungrammatical,PL,7.749920107
1A,36,The helicopter for the flight [MASK] safe.,was,Grammatical,SG,0.12673803
1A,36,The helicopter for the flights [MASK] safe.,was,Grammatical,PL,0.212994772
1A,36,The helicopter for the flight [MASK] safe.,were,Ungrammatical,SG,5.93788095
1A,36,The helicopter for the flights [MASK] safe.,were,Ungrammatical,PL,5.294480572
1A,37,The lesson about the government [MASK] interesting.,was,Grammatical,SG,0.284845112
1A,37,The lesson about the governments [MASK] interesting.,was,Grammatical,PL,0.281223339
1A,37,The lesson about the government [MASK] interesting.,were,Ungrammatical,SG,5.060735413
1A,37,The lesson about the governments [MASK] interesting.,were,Ungrammatical,PL,5.155226766
1A,38,The letter from the friend [MASK] emotional.,was,Grammatical,SG,0.082111223
1A,38,The letter from the friends [MASK] emotional.,was,Grammatical,PL,0.131843426
1A,38,The letter from the friend [MASK] emotional.,were,Ungrammatical,SG,7.473819653
1A,38,The letter from the friends [MASK] emotional.,were,Ungrammatical,PL,5.248802016
1A,39,The manual for the machine [MASK] comprehensible.,was,Grammatical,SG,0.396879582
1A,39,The manual for the machines [MASK] comprehensible.,was,Grammatical,PL,0.308070108
1A,39,The manual for the machine [MASK] comprehensible.,were,Ungrammatical,SG,7.058718046
1A,39,The manual for the machines [MASK] comprehensible.,were,Ungrammatical,PL,6.487906552
1A,40,The meal for the guest [MASK] delicious.,was,Grammatical,SG,0.03416607
1A,40,The meal for the guests [MASK] delicious.,was,Grammatical,PL,0.02191808
1A,40,The meal for the guest [MASK] delicious.,were,Ungrammatical,SG,8.514464153
1A,40,The meal for the guests [MASK] delicious.,were,Ungrammatical,PL,8.127161707
1A,41,The museum with the picture [MASK] open.,was,Grammatical,SG,0.511803654
1A,41,The museum with the pictures [MASK] open.,was,Grammatical,PL,0.466892973
1A,41,The museum with the picture [MASK] open.,were,Ungrammatical,SG,6.450855796
1A,41,The museum with the pictures [MASK] open.,were,Ungrammatical,PL,6.601223745
1A,42,The new design of the engine [MASK] successful.,was,Grammatical,SG,0.315033665
1A,42,The new design of the engines [MASK] successful.,was,Grammatical,PL,0.291944847
1A,42,The new design of the engine [MASK] successful.,were,Ungrammatical,SG,6.453444151
1A,42,The new design of the engines [MASK] successful.,were,Ungrammatical,PL,4.566213062
1A,43,The path around the lake [MASK] scenic.,was,Grammatical,SG,0.237614589
1A,43,The path around the lakes [MASK] scenic.,was,Grammatical,PL,0.320615138
1A,43,The path around the lake [MASK] scenic.,were,Ungrammatical,SG,8.027435168
1A,43,The path around the lakes [MASK] scenic.,were,Ungrammatical,PL,6.728693412
1A,44,The photo of the girl [MASK] blurry.,was,Grammatical,SG,0.125629337
1A,44,The photo of the girls [MASK] blurry.,was,Grammatical,PL,0.16534901
1A,44,The photo of the girl [MASK] blurry.,were,Ungrammatical,SG,7.502679318
1A,44,The photo of the girls [MASK] blurry.,were,Ungrammatical,PL,6.091612923
1A,45,The prescription from the doctor [MASK] ready.,was,Grammatical,SG,0.04622887
1A,45,The prescription from the doctors [MASK] ready.,was,Grammatical,PL,0.046891805
1A,45,The prescription from the doctor [MASK] ready.,were,Ungrammatical,SG,7.17479571
1A,45,The prescription from the doctors [MASK] ready.,were,Ungrammatical,PL,4.672401058
1A,46,The producer of the movie [MASK] famous.,was,Grammatical,SG,0.787023065
1A,46,The producer of the movies [MASK] famous.,was,Grammatical,PL,0.67703602
1A,46,The producer of the movie [MASK] famous.,were,Ungrammatical,SG,5.339242945
1A,46,The producer of the movies [MASK] famous.,were,Ungrammatical,PL,4.664575827
1A,47,The publisher of the book [MASK] wealthy.,was,Grammatical,SG,0.196055012
1A,47,The publisher of the books [MASK] wealthy.,was,Grammatical,PL,0.162460764
1A,47,The publisher of the book [MASK] wealthy.,were,Ungrammatical,SG,5.972894266
1A,47,The publisher of the books [MASK] wealthy.,were,Ungrammatical,PL,5.245213846
1A,48,The statue in the garden [MASK] impressive.,was,Grammatical,SG,0.335544359
1A,48,The statue in the gardens [MASK] impressive.,was,Grammatical,PL,0.293350023
1A,48,The statue in the garden [MASK] impressive.,were,Ungrammatical,SG,7.868602536
1A,48,The statue in the gardens [MASK] impressive.,were,Ungrammatical,PL,6.739205123
1A,49,The support for the platform [MASK] solid.,was,Grammatical,SG,2.458257787
1A,49,The support for the platforms [MASK] solid.,was,Grammatical,PL,2.009915921
1A,49,The support for the platform [MASK] solid.,were,Ungrammatical,SG,7.384167701
1A,49,The support for the platforms [MASK] solid.,were,Ungrammatical,PL,5.552501307
1A,50,The switch for the light [MASK] hidden.,was,Grammatical,SG,0.100066328
1A,50,The switch for the lights [MASK] hidden.,was,Grammatical,PL,0.111559531
1A,50,The switch for the light [MASK] hidden.,were,Ungrammatical,SG,6.975619453
1A,50,The switch for the lights [MASK] hidden.,were,Ungrammatical,PL,6.208315478
1A,51,The telegram to the soldier [MASK] unexpected.,was,Grammatical,SG,0.041364737
1A,51,The telegram to the soldiers [MASK] unexpected.,was,Grammatical,PL,0.053584461
1A,51,The telegram to the soldier [MASK] unexpected.,were,Ungrammatical,SG,7.872597616
1A,51,The telegram to the soldiers [MASK] unexpected.,were,Ungrammatical,PL,6.709629434
1A,52,The threat to the president [MASK] serious.,was,Grammatical,SG,0.095351288
1A,52,The threat to the presidents [MASK] serious.,was,Grammatical,PL,0.119319233
1A,52,The threat to the president [MASK] serious.,were,Ungrammatical,SG,7.120027075
1A,52,The threat to the presidents [MASK] serious.,were,Ungrammatical,PL,5.8287843
1A,53,The tour of the museum [MASK] disappointing.,was,Grammatical,SG,0.054109053
1A,53,The tour of the museums [MASK] disappointing.,was,Grammatical,PL,0.058270792
1A,53,The tour of the museum [MASK] disappointing.,were,Ungrammatical,SG,6.630413454
1A,53,The tour of the museums [MASK] disappointing.,were,Ungrammatical,PL,6.46302834
1A,54,The train to the city [MASK] crowded.,was,Grammatical,SG,0.05487082
1A,54,The train to the cities [MASK] crowded.,was,Grammatical,PL,0.092646275
1A,54,The train to the city [MASK] crowded.,were,Ungrammatical,SG,7.804466466
1A,54,The train to the cities [MASK] crowded.,were,Ungrammatical,PL,6.018041333
1A,55,The truck on the bridge [MASK] noisy.,was,Grammatical,SG,0.106340534
1A,55,The truck on the bridges [MASK] noisy.,was,Grammatical,PL,0.093189622
1A,55,The truck on the bridge [MASK] noisy.,were,Ungrammatical,SG,6.885109208
1A,55,The truck on the bridges [MASK] noisy.,were,Ungrammatical,PL,4.808062999
1A,56,The bookcase with the carving [MASK] gorgeous.,was,Grammatical,SG,0.108541201
1A,56,The bookcase with the carvings [MASK] gorgeous.,was,Grammatical,PL,0.077461421
1A,56,The bookcase with the carving [MASK] gorgeous.,were,Ungrammatical,SG,8.387508187
1A,56,The bookcase with the carvings [MASK] gorgeous.,were,Ungrammatical,PL,7.924247916
1A,57,The car with the sticker [MASK] ridiculous.,was,Grammatical,SG,0.537556727
1A,57,The car with the stickers [MASK] ridiculous.,was,Grammatical,PL,0.439473112
1A,57,The car with the sticker [MASK] ridiculous.,were,Ungrammatical,SG,7.549223079
1A,57,The car with the stickers [MASK] ridiculous.,were,Ungrammatical,PL,7.100587814
1A,58,The uniform with the star [MASK] abondoned.,was,Grammatical,SG,0.567086844
1A,58,The uniform with the stars [MASK] abondoned.,was,Grammatical,PL,1.014560655
1A,58,The uniform with the star [MASK] abondoned.,were,Ungrammatical,SG,5.150341698
1A,58,The uniform with the stars [MASK] abondoned.,were,Ungrammatical,PL,3.216001599
1A,59,The coat with the tag [MASK] hung.,was,Grammatical,SG,1.729735575
1A,59,The coat with the tags [MASK] hung.,was,Grammatical,PL,1.786072109
1A,59,The coat with the tag [MASK] hung.,were,Ungrammatical,SG,6.314816745
1A,59,The coat with the tags [MASK] hung.,were,Ungrammatical,PL,4.773718794
1A,60,The castle with the torch [MASK] mysterious.,was,Grammatical,SG,1.314942381
1A,60,The castle with the torches [MASK] mysterious.,was,Grammatical,PL,0.500879409
1A,60,The castle with the torch [MASK] mysterious.,were,Ungrammatical,SG,6.022387406
1A,60,The castle with the torches [MASK] mysterious.,were,Ungrammatical,PL,5.423897293
1A,61,The magazine with the illustration [MASK] sold.,was,Grammatical,SG,0.47218111
1A,61,The magazine with the illustrations [MASK] sold.,was,Grammatical,PL,0.468666366
1A,61,The magazine with the illustration [MASK] sold.,were,Ungrammatical,SG,5.09245996
1A,61,The magazine with the illustrations [MASK] sold.,were,Ungrammatical,PL,4.455012706
1A,62,The purse with the button [MASK] lost.,was,Grammatical,SG,0.285409574
1A,62,The purse with the buttons [MASK] lost.,was,Grammatical,PL,0.200589111
1A,62,The purse with the button [MASK] lost.,were,Ungrammatical,SG,5.63858667
1A,62,The purse with the buttons [MASK] lost.,were,Ungrammatical,PL,4.816407977
1A,63,The suit with the rip [MASK] mended.,was,Grammatical,SG,0.893430198
1A,63,The suit with the rips [MASK] mended.,was,Grammatical,PL,0.308866227
1A,63,The suit with the rip [MASK] mended.,were,Ungrammatical,SG,6.276222538
1A,63,The suit with the rips [MASK] mended.,were,Ungrammatical,PL,2.79248295
1A,64,The bracelet with the bead [MASK] lovely.,was,Grammatical,SG,0.199193842
1A,64,The bracelet with the beads [MASK] lovely.,was,Grammatical,PL,0.295842659
1A,64,The bracelet with the bead [MASK] lovely.,were,Ungrammatical,SG,7.64680282
1A,64,The bracelet with the beads [MASK] lovely.,were,Ungrammatical,PL,6.512855023
1A,65,The backpack with the buckle [MASK] heavy.,was,Grammatical,SG,0.189303601
1A,65,The backpack with the buckles [MASK] heavy.,was,Grammatical,PL,0.194939165
1A,65,The backpack with the buckle [MASK] heavy.,were,Ungrammatical,SG,7.457581251
1A,65,The backpack with the buckles [MASK] heavy.,were,Ungrammatical,PL,6.151120653
1A,66,The watch with the jewel [MASK] broken.,was,Grammatical,SG,0.26636956
1A,66,The watch with the jewels [MASK] broken.,was,Grammatical,PL,0.298841135
1A,66,The watch with the jewel [MASK] broken.,were,Ungrammatical,SG,5.308778431
1A,66,The watch with the jewels [MASK] broken.,were,Ungrammatical,PL,3.982210812
1A,67,The apartment with the closet [MASK] popular.,was,Grammatical,SG,0.177661151
1A,67,The apartment with the closets [MASK] popular.,was,Grammatical,PL,0.197928122
1A,67,The apartment with the closet [MASK] popular.,were,Ungrammatical,SG,6.896868328
1A,67,The apartment with the closets [MASK] popular.,were,Ungrammatical,PL,6.529742933
1A,68,The catalog for the store [MASK] printed.,was,Grammatical,SG,0.039331161
1A,68,The catalog for the stores [MASK] printed.,was,Grammatical,PL,0.080339106
1A,68,The catalog for the store [MASK] printed.,were,Ungrammatical,SG,7.812296104
1A,68,The catalog for the stores [MASK] printed.,were,Ungrammatical,PL,6.174174011
1A,69,The fax about the company [MASK] sent.,was,Grammatical,SG,0.109966985
1A,69,The fax about the companies [MASK] sent.,was,Grammatical,PL,0.131445094
1A,69,The fax about the company [MASK] sent.,were,Ungrammatical,SG,6.094701551
1A,69,The fax about the companies [MASK] sent.,were,Ungrammatical,PL,4.276128001
1A,70,The safe for the necklace [MASK] stolen.,was,Grammatical,SG,0.531678248
1A,70,The safe for the necklaces [MASK] stolen.,was,Grammatical,PL,0.702477574
1A,70,The safe for the necklace [MASK] stolen.,were,Ungrammatical,SG,5.608056943
1A,70,The safe for the necklaces [MASK] stolen.,were,Ungrammatical,PL,5.01031228
1A,71,The ball for the game [MASK] rolling.,was,Grammatical,SG,1.231566098
1A,71,The ball for the games [MASK] rolling.,was,Grammatical,PL,0.879332359
1A,71,The ball for the game [MASK] rolling.,were,Ungrammatical,SG,6.2127167
1A,71,The ball for the games [MASK] rolling.,were,Ungrammatical,PL,4.775097257
1A,72,The keyboard for the computer [MASK] tiny.,was,Grammatical,SG,0.080030867
1A,72,The keyboard for the computers [MASK] tiny.,was,Grammatical,PL,0.052780915
1A,72,The keyboard for the computer [MASK] tiny.,were,Ungrammatical,SG,8.267954235
1A,72,The keyboard for the computers [MASK] tiny.,were,Ungrammatical,PL,6.510275675
1A,73,The cucumber for the salad [MASK] cut.,was,Grammatical,SG,0.916095063
1A,73,The cucumber for the salads [MASK] cut.,was,Grammatical,PL,0.855329553
1A,73,The cucumber for the salad [MASK] cut.,were,Ungrammatical,SG,6.670998792
1A,73,The cucumber for the salads [MASK] cut.,were,Ungrammatical,PL,5.169008322
1A,74,The tomato for the sandwich [MASK] sliced.,was,Grammatical,SG,0.121442909
1A,74,The tomato for the sandwiches [MASK] sliced.,was,Grammatical,PL,0.153922121
1A,74,The tomato for the sandwich [MASK] sliced.,were,Ungrammatical,SG,4.53768935
1A,74,The tomato for the sandwiches [MASK] sliced.,were,Ungrammatical,PL,2.358782798
1A,75,The postcard with the stamp [MASK] crumpled.,was,Grammatical,SG,0.893242585
1A,75,The postcard with the stamps [MASK] crumpled.,was,Grammatical,PL,0.525680859
1A,75,The postcard with the stamp [MASK] crumpled.,were,Ungrammatical,SG,4.608682735
1A,75,The postcard with the stamps [MASK] crumpled.,were,Ungrammatical,PL,3.759348265
1A,76,The diagram of the skyscraper [MASK] overestimated.,was,Grammatical,SG,0.089828186
1A,76,The diagram of the skyscrapers [MASK] overestimated.,was,Grammatical,PL,0.101924844
1A,76,The diagram of the skyscraper [MASK] overestimated.,were,Ungrammatical,SG,6.230776423
1A,76,The diagram of the skyscrapers [MASK] overestimated.,were,Ungrammatical,PL,4.21081144
1A,77,The hose for the garden [MASK] long.,was,Grammatical,SG,0.291423755
1A,77,The hose for the gardens [MASK] long.,was,Grammatical,PL,0.302806072
1A,77,The hose for the garden [MASK] long.,were,Ungrammatical,SG,3.879329576
1A,77,The hose for the gardens [MASK] long.,were,Ungrammatical,PL,3.772496453
1A,78,The tunnel through the mountain [MASK] destroyed.,was,Grammatical,SG,0.198539924
1A,78,The tunnel through the mountains [MASK] destroyed.,was,Grammatical,PL,0.133952316
1A,78,The tunnel through the mountain [MASK] destroyed.,were,Ungrammatical,SG,6.720459224
1A,78,The tunnel through the mountains [MASK] destroyed.,were,Ungrammatical,PL,5.21516922
1A,79,The highway to the suburb [MASK] blocked.,was,Grammatical,SG,0.076341761
1A,79,The highway to the suburbs [MASK] blocked.,was,Grammatical,PL,0.061371199
1A,79,The highway to the suburb [MASK] blocked.,were,Ungrammatical,SG,7.105295292
1A,79,The highway to the suburbs [MASK] blocked.,were,Ungrammatical,PL,6.184427601
1A,80,The ring with the diamond [MASK] precious.,was,Grammatical,SG,0.381279311
1A,80,The ring with the diamonds [MASK] precious.,was,Grammatical,PL,0.436183785
1A,80,The ring with the diamond [MASK] precious.,were,Ungrammatical,SG,5.912293752
1A,80,The ring with the diamonds [MASK] precious.,were,Ungrammatical,PL,4.326545582
1A,81,The apple with the bruise [MASK] blamed.,was,Grammatical,SG,0.091716286
1A,81,The apple with the bruises [MASK] blamed.,was,Grammatical,PL,0.157468921
1A,81,The apple with the bruise [MASK] blamed.,were,Ungrammatical,SG,5.308287136
1A,81,The apple with the bruises [MASK] blamed.,were,Ungrammatical,PL,3.700312701
1A,82,The lamp with the bulb [MASK] dim.,was,Grammatical,SG,0.294525911
1A,82,The lamp with the bulbs [MASK] dim.,was,Grammatical,PL,0.244600615
1A,82,The lamp with the bulb [MASK] dim.,were,Ungrammatical,SG,6.87098974
1A,82,The lamp with the bulbs [MASK] dim.,were,Ungrammatical,PL,5.381749471
1A,83,The tree with the branch [MASK] planted.,was,Grammatical,SG,0.830728642
1A,83,The tree with the branches [MASK] planted.,was,Grammatical,PL,0.769409467
1A,83,The tree with the branch [MASK] planted.,were,Ungrammatical,SG,5.694391849
1A,83,The tree with the branches [MASK] planted.,were,Ungrammatical,PL,3.743521946
1A,84,The pizza with the topping [MASK] delivered.,was,Grammatical,SG,0.172190395
1A,84,The pizza with the toppings [MASK] delivered.,was,Grammatical,PL,0.143150077
1A,84,The pizza with the topping [MASK] delivered.,were,Ungrammatical,SG,7.458415112
1A,84,The pizza with the toppings [MASK] delivered.,were,Ungrammatical,PL,6.256316319
1A,85,The blanket behind the cabinet [MASK] warm.,was,Grammatical,SG,0.220330249
1A,85,The blanket behind the cabinets [MASK] warm.,was,Grammatical,PL,0.226914622
1A,85,The blanket behind the cabinet [MASK] warm.,were,Ungrammatical,SG,8.141688919
1A,85,The blanket behind the cabinets [MASK] warm.,were,Ungrammatical,PL,7.808980658
1A,86,The bowl with the crack [MASK] unnoticable.,was,Grammatical,SG,0.161489133
1A,86,The bowl with the cracks [MASK] unnoticable.,was,Grammatical,PL,0.329519595
