Ex,No,Item,Reflexive,Grammaticality,Attractor,Surprisal
2A,11,The photographer that the actors talked about depicted [MASK] as a strong person.,himself,Grammatical,PL,4.35678195
2A,11,The photographer that the actor talked about depicted [MASK] as a strong person.,themselves,Ungrammatical,SG,6.914302643
2A,11,The photographer that the actors talked about depicted [MASK] as a strong person.,themselves,Ungrammatical,PL,6.027750353
2A,12,The correspondent that the brave soldier thought of portrayed [MASK] as a great leader.,himself,Grammatical,SG,2.680702228
2A,12,The correspondent that the brave soldiers thought of portrayed [MASK] as a great leader.,himself,Grammatical,PL,4.655456198
2A,12,The correspondent that the brave soldier thought of portrayed [MASK] as a great leader.,themselves,Ungrammatical,SG,7.473815538
2A,12,The correspondent that the brave soldiers thought of portrayed [MASK] as a great leader.,themselves,Ungrammatical,PL,7.881780235
2A,13,The attractive speaker that the talented actor mentioned praised [MASK] for a great job.,himself,Grammatical,SG,5.911122133
2A,13,The attractive speaker that the talented actors mentioned praised [MASK] for a great job.,himself,Grammatical,PL,6.666972515
2A,13,The attractive speaker that the talented actor mentioned praised [MASK] for a great job.,themselves,Ungrammatical,SG,9.140720493
2A,13,The attractive speaker that the talented actors mentioned praised [MASK] for a great job.,themselves,Ungrammatical,PL,6.503614734
2A,14,The witness that the security guard talked about identified [MASK] as a potential suspect.,himself,Grammatical,SG,3.171827065
2A,14,The witness that the security guards talked about identified [MASK] as a potential suspect.,himself,Grammatical,PL,3.596781134
2A,14,The witness that the security guard talked about identified [MASK] as a potential suspect.,themselves,Ungrammatical,SG,7.278270972
2A,14,The witness that the security guards talked about identified [MASK] as a potential suspect.,themselves,Ungrammatical,PL,6.994130959
2A,15,The singer that the band manager liked inspired [MASK] to write a new song.,himself,Grammatical,SG,8.22145488
2A,15,The singer that the band managers liked inspired [MASK] to write a new song.,himself,Grammatical,PL,8.568062364
2A,15,The singer that the band manager liked inspired [MASK] to write a new song.,themselves,Ungrammatical,SG,8.230650658
2A,15,The singer that the band managers liked inspired [MASK] to write a new song.,themselves,Ungrammatical,PL,7.797892846
2A,16,The jail warden that the strict judge talked about convinced [MASK] that the testimony was false.,himself,Grammatical,SG,5.366818474
2A,16,The jail warden that the strict judges talked about convinced [MASK] that the testimony was false.,himself,Grammatical,PL,6.126378372
2A,16,The jail warden that the strict judge talked about convinced [MASK] that the testimony was false.,themselves,Ungrammatical,SG,7.795106969
2A,16,The jail warden that the strict judges talked about convinced [MASK] that the testimony was false.,themselves,Ungrammatical,PL,6.74116926
2A,17,The officer that the radical protester mentioned prevented [MASK] from joining the unsafe protest.,himself,Grammatical,SG,5.864840079
2A,17,The officer that the radical protesters mentioned prevented [MASK] from joining the unsafe protest.,himself,Grammatical,PL,6.759424479
2A,17,The officer that the radical protester mentioned prevented [MASK] from joining the unsafe protest.,themselves,Ungrammatical,SG,7.385028644
2A,17,The officer that the radical protesters mentioned prevented [MASK] from joining the unsafe protest.,themselves,Ungrammatical,PL,5.583141112
2A,18,The outspoken senator that the corrupt official talked about should appoint [MASK] as the new county commissioner.,himself,Grammatical,SG,2.428067655
2A,18,The outspoken senator that the corrupt officials talked about should appoint [MASK] as the new county commissioner.,himself,Grammatical,PL,3.212627268
2A,18,The outspoken senator that the corrupt official talked about should appoint [MASK] as the new county commissioner.,themselves,Ungrammatical,SG,6.658482154
2A,18,The outspoken senator that the corrupt officials talked about should appoint [MASK] as the new county commissioner.,themselves,Ungrammatical,PL,6.034822695
2A,19,The mischievous schoolboy that the gullible principal liked tricked [MASK] into believing that the story was true.,himself,Grammatical,SG,3.790103311
2A,19,The mischievous schoolboy that the gullible principals liked tricked [MASK] into believing that the story was true.,himself,Grammatical,PL,4.169183539
2A,19,The mischievous schoolboy that the gullible principal liked tricked [MASK] into believing that the story was true.,themselves,Ungrammatical,SG,8.197443921
2A,19,The mischievous schoolboy that the gullible principals liked tricked [MASK] into believing that the story was true.,themselves,Ungrammatical,PL,6.24338981
2A,20,The persuasive lawyer that the innocent manager talked about defended [MASK] in the court case.,himself,Grammatical,SG,2.665764483
2A,20,The persuasive lawyer that the innocent managers talked about defended [MASK] in the court case.,himself,Grammatical,PL,2.580411699
2A,20,The persuasive lawyer that the innocent manager talked about defended [MASK] in the court case.,themselves,Ungrammatical,SG,6.050699988
2A,20,The persuasive lawyer that the innocent managers talked about defended [MASK] in the court case.,themselves,Ungrammatical,PL,3.955709335
2A,21,The patient that the flustered doctor talked about considered [MASK] to be very attractive.,himself,Grammatical,SG,2.0382465
2A,21,The patient that the flustered doctors talked about considered [MASK] to be very attractive.,himself,Grammatical,PL,2.486846998
2A,21,The patient that the flustered doctor talked about considered [MASK] to be very attractive.,themselves,Ungrammatical,SG,5.551591294
2A,21,The patient that the flustered doctors talked about considered [MASK] to be very attractive.,themselves,Ungrammatical,PL,5.249163736
2A,22,The outspoken chef that the clumsy waiter mentioned that criticized [MASK] for the horrible mistake.,himself,Grammatical,SG,4.13215103
2A,22,The outspoken chef that the clumsy waiters mentioned that criticized [MASK] for the horrible mistake.,himself,Grammatical,PL,4.372484704
2A,22,The outspoken chef that the clumsy waiter mentioned that criticized [MASK] for the horrible mistake.,themselves,Ungrammatical,SG,7.131349646
2A,22,The outspoken chef that the clumsy waiters mentioned that criticized [MASK] for the horrible mistake.,themselves,Ungrammatical,PL,5.220738445
2A,23,The devout priest that the professor talked about that forgave [MASK] for the secret affair.,himself,Grammatical,SG,3.593129457
2A,23,The devout priest that the professors talked about that forgave [MASK] for the secret affair.,himself,Grammatical,PL,3.509406632
2A,23,The devout priest that the professor talked about that forgave [MASK] for the secret affair.,themselves,Ungrammatical,SG,6.262035683
2A,23,The devout priest that the professors talked about that forgave [MASK] for the secret affair.,themselves,Ungrammatical,PL,5.421125989
2A,24,The dishonest gardener that the polite mail carrier worried about would blame [MASK] for the accident in the driveway.,himself,Grammatical,SG,2.856852335
2A,24,The dishonest gardener that the polite mail carriers worried about would blame [MASK] for the accident in the driveway.,himself,Grammatical,PL,3.366888167
2A,24,The dishonest gardener that the polite mail carrier worried about would blame [MASK] for the accident in the driveway.,themselves,Ungrammatical,SG,5.936362037
2A,24,The dishonest gardener that the polite mail carriers worried about would blame [MASK] for the accident in the driveway.,themselves,Ungrammatical,PL,4.803618382
2A,25,The noisy colleague that the pool boy talked about distracted [MASK] from the important task.,himself,Grammatical,SG,6.076886346
2A,25,The noisy colleague that the pool boys talked about distracted [MASK] from the important task.,himself,Grammatical,PL,7.307806661
2A,25,The noisy colleague that the pool boy talked about distracted [MASK] from the important task.,themselves,Ungrammatical,SG,8.99575748
2A,25,The noisy colleague that the pool boys talked about distracted [MASK] from the important task.,themselves,Ungrammatical,PL,7.97000753
2A,26,The successful executive that the handsome reporter mentioned characterized [MASK] as a greedy entrepreneur.,himself,Grammatical,SG,4.441944862
2A,26,The successful executive that the handsome reporters mentioned characterized [MASK] as a greedy entrepreneur.,himself,Grammatical,PL,4.53131851
2A,26,The successful executive that the handsome reporter mentioned characterized [MASK] as a greedy entrepreneur.,themselves,Ungrammatical,SG,8.642744351
2A,26,The successful executive that the handsome reporters mentioned characterized [MASK] as a greedy entrepreneur.,themselves,Ungrammatical,PL,8.135461143
2A,27,The cautious sergeant that the undercover officer talked about recorded [MASK] talking about the secret plot.,himself,Grammatical,SG,2.691954577
2A,27,The cautious sergeant that the undercover officers talked about recorded [MASK] talking about the secret plot.,himself,Grammatical,PL,3.41620321
2A,27,The cautious sergeant that the undercover officer talked about recorded [MASK] talking about the secret plot.,themselves,Ungrammatical,SG,4.45703312
2A,27,The cautious sergeant that the undercover officers talked about recorded [MASK] talking about the secret plot.,themselves,Ungrammatical,PL,3.02727283
2A,28,The football player that the frat boy talked about complimented [MASK] on the new dress.,himself,Grammatical,SG,6.432978763
2A,28,The football player that the frat boys talked about complimented [MASK] on the new dress.,himself,Grammatical,PL,6.904980745
2A,28,The football player that the frat boy talked about complimented [MASK] on the new dress.,themselves,Ungrammatical,SG,9.484145296
2A,28,The football player that the frat boys talked about complimented [MASK] on the new dress.,themselves,Ungrammatical,PL,9.088100294
2A,29,The rugged hiker that the member found taught [MASK] how to build a fire.,himself,Grammatical,SG,7.009281392
2A,29,The rugged hiker that the members found taught [MASK] how to build a fire.,himself,Grammatical,PL,7.656270096
2A,29,The rugged hiker that the member found taught [MASK] how to build a fire.,themselves,Ungrammatical,SG,7.366287899
2A,29,The rugged hiker that the members found taught [MASK] how to build a fire.,themselves,Ungrammatical,PL,7.672182144
2A,30,The record producer that the hip rapper talked about photographed [MASK] on the large stage.,himself,Grammatical,SG,2.613997411
2A,30,The record producer that the hip rappers talked about photographed [MASK] on the large stage.,himself,Grammatical,PL,2.550194063
2A,30,The record producer that the hip rapper talked about photographed [MASK] on the large stage.,themselves,Ungrammatical,SG,4.263099169
2A,30,The record producer that the hip rappers talked about photographed [MASK] on the large stage.,themselves,Ungrammatical,PL,3.292301503
2A,31,The professor that the brave officer reported nominated [MASK] for the prestigious award.,himself,Grammatical,SG,4.769455483
2A,31,The professor that the brave officers reported nominated [MASK] for the prestigious award.,himself,Grammatical,PL,5.636371175
2A,31,The professor that the brave officer reported nominated [MASK] for the prestigious award.,themselves,Ungrammatical,SG,9.2443703
2A,31,The professor that the brave officers reported nominated [MASK] for the prestigious award.,themselves,Ungrammatical,PL,6.427420608
2A,32,The basketball coach that the teenage boy talked about that motivated [MASK] to win the championship.,himself,Grammatical,SG,7.004649655
2A,32,The basketball coach that the teenage boys talked about that motivated [MASK] to win the championship.,himself,Grammatical,PL,8.92878661
2A,32,The basketball coach that the teenage boy talked about that motivated [MASK] to win the championship.,themselves,Ungrammatical,SG,9.355287379
2A,32,The basketball coach that the teenage boys talked about that motivated [MASK] to win the championship.,themselves,Ungrammatical,PL,8.076565746
2A,33,The mean bully that the shy boy talked about embarrassed [MASK] in the school cafeteria.,himself,Grammatical,SG,4.327444141
2A,33,The mean bully that the shy boys talked about embarrassed [MASK] in the school cafeteria.,himself,Grammatical,PL,5.322774697
2A,33,The mean bully that the shy boy talked about embarrassed [MASK] in the school cafeteria.,themselves,Ungrammatical,SG,7.275562626
2A,33,The mean bully that the shy boys talked about embarrassed [MASK] in the school cafeteria.,themselves,Ungrammatical,PL,4.919944607
2A,34,The busy waiter that the customer complained didn't notice [MASK] standing by the table.,himself,Grammatical,SG,6.751377916
2A,34,The busy waiter that the customers complained didn't notice [MASK] standing by the table.,himself,Grammatical,PL,6.813614377
2A,34,The busy waiter that the customer complained didn't notice [MASK] standing by the table.,themselves,Ungrammatical,SG,9.763767238
2A,34,The busy waiter that the customers complained didn't notice [MASK] standing by the table.,themselves,Ungrammatical,PL,9.452285895
2A,35,The guest that the friendly chef met gave [MASK] an extra large tip for the excellent meal.,himself,Grammatical,SG,7.358109992
2A,35,The guest that the friendly chefs met gave [MASK] an extra large tip for the excellent meal.,himself,Grammatical,PL,7.911617304
2A,35,The guest that the friendly chef met gave [MASK] an extra large tip for the excellent meal.,themselves,Ungrammatical,SG,8.54221347
2A,35,The guest that the friendly chefs met gave [MASK] an extra large tip for the excellent meal.,themselves,Ungrammatical,PL,6.861880782
2A,36,The teenage boy that the suspect talked about revealed [MASK] as the real criminal.,himself,Grammatical,SG,0.028657437
2A,36,The teenage boy that the suspects talked about revealed [MASK] as the real criminal.,himself,Grammatical,PL,0.043868574
2A,36,The teenage boy that the suspect talked about revealed [MASK] as the real criminal.,themselves,Ungrammatical,SG,6.29768094
2A,36,The teenage boy that the suspects talked about revealed [MASK] as the real criminal.,themselves,Ungrammatical,PL,5.281827067
2A,37,The patient that the doctor treated accidently hurt [MASK] while playing sports in the park.,himself,Grammatical,SG,0.378688722
2A,37,The patient that the doctors treated accidently hurt [MASK] while playing sports in the park.,himself,Grammatical,PL,0.481751584
2A,37,The patient that the doctor treated accidently hurt [MASK] while playing sports in the park.,themselves,Ungrammatical,SG,7.0752639
2A,37,The patient that the doctors treated accidently hurt [MASK] while playing sports in the park.,themselves,Ungrammatical,PL,6.519835555
2A,38,The witness that the lawyer suspected recently defended [MASK] against the false accusations.,himself,Grammatical,SG,0.531005552
2A,38,The witness that the lawyers suspected recently defended [MASK] against the false accusations.,himself,Grammatical,PL,0.55833037
2A,38,The witness that the lawyer suspected recently defended [MASK] against the false accusations.,themselves,Ungrammatical,SG,5.160979839
2A,38,The witness that the lawyers suspected recently defended [MASK] against the false accusations.,themselves,Ungrammatical,PL,3.530704414
2A,39,The father that the son loved often blamed [MASK] for the recent accident.,himself,Grammatical,SG,1.089503966
2A,39,The father that the sons loved often blamed [MASK] for the recent accident.,himself,Grammatical,PL,1.536351989
2A,39,The father that the son loved often blamed [MASK] for the recent accident.,themselves,Ungrammatical,SG,6.372517792
2A,39,The father that the sons loved often blamed [MASK] for the recent accident.,themselves,Ungrammatical,PL,3.393889227
2A,40,The priest that the boy respected recently motivated [MASK] to learn more about water crisis in Africa.,himself,Grammatical,SG,7.774659865
2A,40,The priest that the boys respected recently motivated [MASK] to learn more about water crisis in Africa.,himself,Grammatical,PL,9.776422948
2A,40,The priest that the boy respected recently motivated [MASK] to learn more about water crisis in Africa.,themselves,Ungrammatical,SG,10.73715762
2A,40,The priest that the boys respected recently motivated [MASK] to learn more about water crisis in Africa.,themselves,Ungrammatical,PL,7.765364691
2A,41,The employee that the executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,himself,Grammatical,SG,3.499727752
2A,41,The employee that the executives recommended eagerly introduced [MASK] to the celebrity at the charity event. ,himself,Grammatical,PL,3.949458405
2A,41,The employee that the executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,themselves,Ungrammatical,SG,5.403056329
2A,41,The employee that the executives recommended eagerly introduced [MASK] to the celebrity at the charity event. ,themselves,Ungrammatical,PL,4.916506514
2A,42,The student that the teacher praised recently taught [MASK] how to read Latin using a smartphone app.,himself,Grammatical,SG,5.21032581
2A,42,The student that the teachers praised recently taught [MASK] how to read Latin using a smartphone app.,himself,Grammatical,PL,5.061851091
2A,42,The student that the teacher praised recently taught [MASK] how to read Latin using a smartphone app.,themselves,Ungrammatical,SG,8.138366517
2A,42,The student that the teachers praised recently taught [MASK] how to read Latin using a smartphone app.,themselves,Ungrammatical,PL,7.119890398
2A,43,The actor that the fan admired proudly praised [MASK] for the terrific movie.,himself,Grammatical,SG,3.841303952
2A,43,The actor that the fans admired proudly praised [MASK] for the terrific movie.,himself,Grammatical,PL,3.934365612
2A,43,The actor that the fan admired proudly praised [MASK] for the terrific movie.,themselves,Ungrammatical,SG,7.392754642
2A,43,The actor that the fans admired proudly praised [MASK] for the terrific movie.,themselves,Ungrammatical,PL,7.099367442
2A,44,The waiter that the chef hired repeatedly reminded [MASK] about the outstanding orders.,himself,Grammatical,SG,6.32413585
2A,44,The waiter that the chefs hired repeatedly reminded [MASK] about the outstanding orders.,himself,Grammatical,PL,6.762920165
2A,44,The waiter that the chef hired repeatedly reminded [MASK] about the outstanding orders.,themselves,Ungrammatical,SG,8.830396107
2A,44,The waiter that the chefs hired repeatedly reminded [MASK] about the outstanding orders.,themselves,Ungrammatical,PL,8.354158132
2A,45,The football player that the fan loved secretly blamed [MASK] for losing the difficult competition.,himself,Grammatical,SG,2.080855631
2A,45,The football player that the fans loved secretly blamed [MASK] for losing the difficult competition.,himself,Grammatical,PL,2.056312503
2A,45,The football player that the fan loved secretly blamed [MASK] for losing the difficult competition.,themselves,Ungrammatical,SG,5.567721723
2A,45,The football player that the fans loved secretly blamed [MASK] for losing the difficult competition.,themselves,Ungrammatical,PL,4.58931497
2A,46,The clerk that the boss adored proudly introduced [MASK] to the wealthy client.,himself,Grammatical,SG,3.78569232
2A,46,The clerk that the bosses adored proudly introduced [MASK] to the wealthy client.,himself,Grammatical,PL,3.608677601
2A,46,The clerk that the boss adored proudly introduced [MASK] to the wealthy client.,themselves,Ungrammatical,SG,6.264718643
2A,46,The clerk that the bosses adored proudly introduced [MASK] to the wealthy client.,themselves,Ungrammatical,PL,5.768121464
2A,47,The applicant that the colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,himself,Grammatical,SG,2.601903954
2A,47,The applicant that the colleagues recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,himself,Grammatical,PL,3.47029578
2A,47,The applicant that the colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,themselves,Ungrammatical,SG,5.056006471
2A,47,The applicant that the colleagues recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,themselves,Ungrammatical,PL,3.842031733
2A,48,The audience that the tenorist invited quietly amused [MASK] during the boring recital.,himself,Grammatical,SG,3.112969103
2A,48,The audience that the tenorists invited quietly amused [MASK] during the boring recital.,himself,Grammatical,PL,3.496460727
2A,48,The audience that the tenorist invited quietly amused [MASK] during the boring recital.,themselves,Ungrammatical,SG,4.036220144
2A,48,The audience that the tenorists invited quietly amused [MASK] during the boring recital.,themselves,Ungrammatical,PL,2.640563337
2A,49,The officer that the armed criminal attacked courageously defended [MASK].,himself,Grammatical,SG,0.042223547
2A,49,The officer that the armed criminals attacked courageously defended [MASK].,himself,Grammatical,PL,0.038353936
2A,49,The officer that the armed criminal attacked courageously defended [MASK].,themselves,Ungrammatical,SG,6.31165076
2A,49,The officer that the armed criminals attacked courageously defended [MASK].,themselves,Ungrammatical,PL,5.262415029
2A,50,The senator that the supporter upheld often reminded [MASK] about the promises made on the campaign trail.,himself,Grammatical,SG,6.304425887
2A,50,The senator that the supporters upheld often reminded [MASK] about the promises made on the campaign trail.,himself,Grammatical,PL,7.145331403
2A,50,The senator that the supporter upheld often reminded [MASK] about the promises made on the campaign trail.,themselves,Ungrammatical,SG,6.963535985
2A,50,The senator that the supporters upheld often reminded [MASK] about the promises made on the campaign trail.,themselves,Ungrammatical,PL,5.615001695
2A,51,The actor that the writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,himself,Grammatical,SG,1.84135805
2A,51,The actor that the writers cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,himself,Grammatical,PL,2.957899101
2A,51,The actor that the writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,themselves,Ungrammatical,SG,4.435968255
2A,51,The actor that the writers cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,themselves,Ungrammatical,PL,2.838373155
2A,52,The senator that the environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,himself,Grammatical,SG,3.609674081
2A,52,The senator that the environmentalists voted for often doubted [MASK] after making a controversial decision about birth control.,himself,Grammatical,PL,4.315337187
2A,52,The senator that the environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,themselves,Ungrammatical,SG,6.080712407
2A,52,The senator that the environmentalists voted for often doubted [MASK] after making a controversial decision about birth control.,themselves,Ungrammatical,PL,4.487928324
2A,53,The priest that the volunteer prayed with often doubted [MASK] for the movement. ,himself,Grammatical,SG,3.94976057
2A,53,The priest that the volunteers prayed with often doubted [MASK] for the movement. ,himself,Grammatical,PL,5.18519718
2A,53,The priest that the volunteer prayed with often doubted [MASK] for the movement. ,themselves,Ungrammatical,SG,6.332684724
2A,53,The priest that the volunteers prayed with often doubted [MASK] for the movement. ,themselves,Ungrammatical,PL,6.172330791
2A,54,The actor that the kid liked intentionally portrayed [MASK] as a kind person during the TV interview. ,himself,Grammatical,SG,1.423838041
2A,54,The actor that the kids liked intentionally portrayed [MASK] as a kind person during the TV interview. ,himself,Grammatical,PL,1.677825716
2A,54,The actor that the kid liked intentionally portrayed [MASK] as a kind person during the TV interview. ,themselves,Ungrammatical,SG,5.73073753
2A,54,The actor that the kids liked intentionally portrayed [MASK] as a kind person during the TV interview. ,themselves,Ungrammatical,PL,4.204996405
2A,55,The researcher that the professor scout proudly praised [MASK] for a job well done.,himself,Grammatical,SG,4.446134927
2A,55,The researcher that the professors scout proudly praised [MASK] for a job well done.,himself,Grammatical,PL,4.846760634
2A,55,The researcher that the professor scout proudly praised [MASK] for a job well done.,themselves,Ungrammatical,SG,8.118825189
2A,55,The researcher that the professors scout proudly praised [MASK] for a job well done.,themselves,Ungrammatical,PL,7.776037042
2A,56,The passenger that the pilots scared injured [MASK] quite badly during the journey.,himself,Grammatical,SG,0.856303254
2A,56,The passenger that the pilot scared injured [MASK] quite badly during the journey.,himself,Grammatical,PL,0.403005828
2A,56,The passenger that the pilots scared injured [MASK] quite badly during the journey.,themselves,Ungrammatical,SG,4.150032051
2A,56,The passenger that the pilot scared injured [MASK] quite badly during the journey.,themselves,Ungrammatical,PL,6.077790984
2A,57,The pedestrian that the firefighter saved had cut [MASK] on a piece of broken glass.,himself,Grammatical,SG,1.357082519
2A,57,The pedestrian that the firefighters saved had cut [MASK] on a piece of broken glass.,himself,Grammatical,PL,2.207118998
2A,57,The pedestrian that the firefighter saved had cut [MASK] on a piece of broken glass.,themselves,Ungrammatical,SG,6.697045462
2A,57,The pedestrian that the firefighters saved had cut [MASK] on a piece of broken glass.,themselves,Ungrammatical,PL,6.226292251
2A,58,The patient that the surgeon treated had pricked [MASK] with a used syringe needle.,himself,Grammatical,SG,2.100649605
2A,58,The patient that the surgeons treated had pricked [MASK] with a used syringe needle.,himself,Grammatical,PL,2.208713769
2A,58,The patient that the surgeon treated had pricked [MASK] with a used syringe needle.,themselves,Ungrammatical,SG,6.308889271
2A,58,The patient that the surgeons treated had pricked [MASK] with a used syringe needle.,themselves,Ungrammatical,PL,5.378307993
2A,59,The colleague that the undertaker worked with whispered to [MASK] all the time with a grimace.,himself,Grammatical,SG,4.586450034
2A,59,The colleague that the undertakers worked with whispered to [MASK] all the time with a grimace.,himself,Grammatical,PL,4.739881905
2A,59,The colleague that the undertaker worked with whispered to [MASK] all the time with a grimace.,themselves,Ungrammatical,SG,7.062666814
2A,59,The colleague that the undertakers worked with whispered to [MASK] all the time with a grimace.,themselves,Ungrammatical,PL,5.850394617
2A,60,The footballer that the coach talked to had taught [MASK] to paint the lines on the pitch.,himself,Grammatical,SG,4.677830828
2A,60,The footballer that the coaches talked to had taught [MASK] to paint the lines on the pitch.,himself,Grammatical,PL,4.709699863
2A,60,The footballer that the coach talked to had taught [MASK] to paint the lines on the pitch.,themselves,Ungrammatical,SG,8.924719192
2A,60,The footballer that the coaches talked to had taught [MASK] to paint the lines on the pitch.,themselves,Ungrammatical,PL,7.727111366
2A,61,The porter that the passenger met had upset [MASK] quite a lot about all the luggage.,himself,Grammatical,SG,6.115287027
2A,61,The porter that the passengers met had upset [MASK] quite a lot about all the luggage.,himself,Grammatical,PL,5.749958462
2A,61,The porter that the passenger met had upset [MASK] quite a lot about all the luggage.,themselves,Ungrammatical,SG,9.28039728
2A,61,The porter that the passengers met had upset [MASK] quite a lot about all the luggage.,themselves,Ungrammatical,PL,7.250678848
2A,62,The judge that the victim impressed disciplined [MASK] very carefully all the time.,himself,Grammatical,SG,4.140129436
2A,62,The judge that the victims impressed disciplined [MASK] very carefully all the time.,himself,Grammatical,PL,4.976220656
2A,62,The judge that the victim impressed disciplined [MASK] very carefully all the time.,themselves,Ungrammatical,SG,7.493373542
2A,62,The judge that the victims impressed disciplined [MASK] very carefully all the time.,themselves,Ungrammatical,PL,6.693561718
2A,63,The engineer that the boss visited convinced [MASK] that the valve was faulty.,himself,Grammatical,SG,5.15698348
